Protein.IDs	LFQ.intensity.ATG9_0	LFQ.intensity.ATG9_1	LFQ.intensity.ATG9_4	LFQ.intensity.WT_0	LFQ.intensity.WT_1	LFQ.intensity.WT_4
A5Z2X5	26.5398542431	27.0820189507	27.0104309365	26.5798810359	27.4014672027	28.0836977048
CON__P00761	34.0040484848	34.1578756484	34.0136636927	33.9332843251	34.6616578283	34.6277174648
CON__P02533;CON__P08779;CON__A2A4G1;CON__P08727;CON__P19001;CON__Q04695;CON__Q9QWL7;CON__Q7Z3Z0;CON__P19012;CON__Q7Z3Y8;CON__Q148H6;CON__Q7Z3Y9;CON__Q9Z2K1;CON__Q3ZAW8;CON__Q7Z3Y7;CON__Q99456	25.6290465935	24.2336803676	23.7293038276	24.3990124348	23.2753112214	21.3038613667
CON__P02769	22.4704214420	23.0207070046	23.1900814203	21.0174155480	22.4096365929	22.9884451383
CON__P04264;CON__ENSEMBL:ENSBTAP00000038253	29.0854872774	28.7156196862	29.3649981074	27.0745458561	27.7147043373	27.5746184644
CON__P07477	26.9447591140	27.2584140460	27.6718080070	27.7568065055	28.4596408643	27.6699919159
CON__P13645;CON__P08730-1;CON__P02535-1	28.5879101938	27.9367719230	28.3876811853	26.1632102224	27.2760272076	26.4055426602
CON__P35527	27.1256292948	26.9242528774	27.9516742652	25.1806304312	25.5906588798	25.8243698586
CON__P35908;CON__Q9R0H5;CON__Q6NXH9;CON__Q6IFZ6;CON__Q7Z794;CON__Q3TTY5;CON__Q9H552;CON__Q14CN4-1;CON__Q6IME9;CON__Q3SY84;CON__Q7RTS7;CON__Q32MB2;CON__P19013	26.4292358621	26.2276398019	26.3753145063	26.0298828756	26.0910972577	25.0495843936
CON__Q2KIT0	23.8568567831	23.4129558140	23.5649639387	23.2351884078	22.1251344931	22.8108232299
CON__Q3MHN2	25.9364794578	25.3048406817	25.6100115998	25.4837076954	25.4642291883	25.4907434269
CON__Q86YZ3	25.1064264214	24.6575307076	23.8786663012	24.9057074692	24.9536891831	24.6447856864
D6VTK4	25.1875665881	24.7188157487	24.3318175953	25.2251460219	23.7632446393	22.9869534054
O13297	27.2607018353	27.0328718181	27.8146056320	27.3514954442	27.2749361854	27.5742391970
O13329	24.2260745312	24.1277887224	25.3816251483	24.4459025420	24.2712527847	24.0815323845
O13539	24.8549595392	24.7593079313	25.6080811669	24.9659071627	25.1574232189	25.2215645442
O13563	27.6803310446	27.8578425826	27.6737860205	27.6221755721	27.3459230800	27.2732484722
O13585	25.4508269064	25.6667031270	25.9081484375	25.4878744804	25.6398247106	26.1290130145
O14455	33.5673534785	32.9603821382	33.5756580820	33.0621330728	33.0232940099	33.0528908433
O14467	31.6977419183	31.3599197760	31.5827405893	31.3994172604	31.3506127372	31.4806492442
O43137	27.5230578844	31.4036861180	31.3720030768	29.0348775270	29.5232070300	27.6178767826
O74700	27.9556926564	28.2174907366	28.9756948008	28.8633045560	29.2335091937	29.3467010227
P00044	25.9011055931	25.5653868947	25.5576472679	26.4120302110	26.7049484051	24.8496367944
P00045	27.5733427093	27.5326956321	27.6312405577	26.5341753953	28.2879743114	27.9376688060
P00128	27.4277416154	27.9149675527	27.2207671943	27.3353313214	28.2171297318	28.0080440934
P00175	25.3517388729	24.9306726811	24.7709308488	25.1525799597	24.6840878650	23.4323075633
P00330	37.0823549732	37.5878236142	37.5661455295	37.3894657031	37.7386445140	37.5463064461
P00331	27.8399091360	28.0951567204	27.8198910829	27.7929841760	27.7483997015	28.1143855263
P00358	34.0577135933	34.2259424187	32.3878620232	34.2238075856	34.5239260205	34.3990290542
P00359	37.8870307951	38.3838551492	38.2144339655	37.9796459131	38.3193068773	38.1783309837
P00360	34.4760065172	35.4010154211	34.0878921186	33.4501447198	35.7229734501	34.4712082198
P00410	25.2140764180	26.5790723953	25.5716677935	25.6240329203	26.2074217412	25.8381836771
P00425;P00424	25.5009219675	25.6578803012	25.3563662999	25.3436475818	25.7787991059	25.6792157449
P00427	29.1023313217	29.4798916174	29.1862020424	28.6200900359	29.8398258445	29.9540719897
P00431	29.2087869147	30.1171744298	30.3714951392	29.8829704712	31.0869093130	31.3084141125
P00445	33.8355371586	34.1892481372	35.6843774555	34.7430590217	34.9829227126	35.1026055254
P00447	29.7620447870	30.1536302828	29.9606174583	29.4209149089	30.6457769125	30.2684739669
P00498	30.7067542805	30.7621505269	31.1036365809	30.9298208007	30.9730932796	31.4955474275
P00546	28.9933714422	29.1471607875	29.3777404943	28.9571905982	28.8789632287	28.9617620398
P00549	37.7463057701	38.1799459065	37.7111958623	37.4952603671	37.4070230229	37.4924395742
P00560	37.7580829378	38.0348040060	37.9584629522	37.7176527885	37.9480978796	37.7762325402
P00572	25.7267675927	26.1559621322	25.9834114913	25.9187091302	25.4448975675	25.5862513373
P00635	26.8428923694	25.5541155482	26.9971109139	26.4061312105	26.3481157372	26.2532437075
P00724	26.9327847135	27.3097685823	27.7041170965	27.4874094360	27.6477274387	27.4574337582
P00729	27.2193378746	27.6313401480	27.5838284756	28.0049802621	29.2780025850	28.6310284174
P00812	28.6776031725	30.0929096209	29.6837710183	28.8529480547	30.1108006422	29.6779741167
P00815	32.6862685089	32.5891436861	32.6486804391	32.4051866556	32.4520889663	32.7923824331
P00817	32.7192430454	33.5316787133	33.2596710870	33.3389113150	34.1028166980	33.6541450246
P00830	32.7117046286	33.1489677002	33.0407992161	33.1905703617	33.8534874403	33.5005709790
P00890	30.5432711053	31.8313374957	30.5677427072	31.1881203521	32.1918873934	31.4582664114
P00899	30.5657461381	30.6396953765	30.9016111951	30.7990986670	30.5407609034	30.8335293128
P00912	26.2417236724	26.8835177527	26.9434410203	26.5361349776	26.6894733569	26.6007883733
P00924	34.4460903960	35.1390720927	34.6602776363	34.3960993709	35.5371987062	34.7015809720
P00925	37.7697647429	38.2267907700	38.1831184251	37.6340880718	37.6659992122	37.7370619429
P00927	30.9291355895	30.8698912875	30.6019210089	30.7212556481	30.6307523858	31.0994131749
P00931	32.6699830589	33.2147864163	32.3498697277	32.4736009766	32.5372579508	32.5190887757
P00937	29.4510349524	29.7142905327	29.6853576469	29.6103576584	29.7334083453	30.1775197271
P00942	34.0557300876	35.0278370010	35.4681745690	35.0562025387	35.2285176992	35.2892539816
P00950	35.9366874716	36.1784023973	36.3854992976	35.7797027120	36.0714956361	35.7505258418
P00958	32.2246877769	32.3053726695	31.9759354037	32.4079884153	32.0457232525	31.9356772027
P01094	26.3002912422	26.2794835015	26.3843278355	26.4862689370	26.7658875556	25.4155700319
P01097	24.5603319535	24.7826763741	24.6305002483	23.9424135886	24.9994270815	24.2870040686
P01119	25.8361723275	25.5945911680	25.7889082478	25.2353311441	25.4313165618	25.8759220930
P01120	29.5183500733	29.4790200658	29.8239323103	29.7001295338	29.9740739900	30.1823804381
P01123	29.9858781013	29.2459713984	29.6415738942	29.9039184372	29.9708491492	29.5342798220
P02294;P02293	32.2759440517	32.2085860107	32.9446742259	32.6033525631	32.5715634541	31.9887574125
P02309	33.4738941836	32.9811485551	32.3563786210	33.9088106871	33.2435191034	33.0958009304
P02381	23.9283939825	24.4775134174	24.6032437533	24.3854489144	24.5566401509	24.7141226251
P02400	31.7217663682	31.7018398396	32.6977046228	32.7922448161	32.2247483657	32.9059771457
P02406	33.6095683268	33.1114020474	33.4061051169	34.1306653470	33.4072823605	33.3846362846
P14127;P02407	34.2656579283	34.2279334112	34.1595176891	34.7889102677	34.2575392928	34.0613387912
P02557	30.1402638461	30.7317075858	30.5465702337	30.4727249586	30.5009751041	30.5988170275
P02829	35.2604673613	35.9612689137	35.8507507736	34.9112156531	35.3637479765	34.8647133951
P02992	31.4941812468	31.0355956914	31.1434525687	31.7484685464	31.5167809839	31.2802644763
